Area_sqft,Bedrooms,Bathrooms,Age_years,Locality,Parking_spaces,Furnished_status,Metro_nearby,Floor,Total_floors,Price_lakhs
1399,3,3,1.4,Dilshad Garden,0,Semi-Furnished,0,1,1,57.57
1007,3,3,0.0,Connaught Place,1,Semi-Furnished,1,3,3,309.23
987,5,5,0.8,Dilshad Garden,1,Furnished,1,7,17,63.91
960,1,1,4.6,Lajpat Nagar,1,Furnished,0,2,6,125.52
694,3,3,1.6,Shahdara,1,Furnished,1,8,11,50.07
1514,5,5,11.0,Paschim Vihar,2,Unfurnished,0,9,10,108.75
863,1,1,4.0,Karol Bagh,0,Furnished,1,1,14,97.68
1479,3,3,15.2,Pitampura,1,Unfurnished,0,3,4,85.84
570,3,3,28.5,Defence Colony,1,Semi-Furnished,1,1,8,64.13
954,3,3,18.1,Preet Vihar,1,Semi-Furnished,1,1,2,40.74
633,4,4,9.5,Khan Market,1,Unfurnished,0,4,7,125.28
1749,4,4,0.9,Ghaziabad,1,Unfurnished,0,5,9,65.46
761,2,1,2.0,Rajouri Garden,1,Unfurnished,0,1,2,80.47
432,2,1,7.5,Khan Market,1,Unfurnished,0,2,12,70.18
400,3,3,0.7,Preet Vihar,1,Unfurnished,1,11,12,26.13
1405,2,2,9.5,Defence Colony,1,Semi-Furnished,0,3,9,254.31
912,4,4,5.8,Karol Bagh,0,Unfurnished,0,10,19,100.73
1525,4,4,6.0,Khan Market,2,Furnished,1,9,18,407.95
1586,4,4,4.1,Connaught Place,1,Unfurnished,0,3,18,340.99
1427,5,5,2.9,Khan Market,1,Semi-Furnished,0,1,14,348.0
668,2,2,10.2,Connaught Place,1,Semi-Furnished,1,2,3,147.9
1169,4,4,12.7,Connaught Place,1,Semi-Furnished,0,3,14,260.54
1792,1,1,5.1,Vikaspuri,2,Unfurnished,0,17,19,103.29
2048,5,4,2.9,Connaught Place,1,Unfurnished,1,3,19,719.75
846,3,3,1.2,Dwarka,2,Semi-Furnished,1,7,13,108.33
1562,4,4,19.6,Lajpat Nagar,1,Furnished,1,12,13,177.66
576,3,3,1.3,Preet Vihar,0,Furnished,0,1,1,39.33
1824,2,2,0.7,Janakpuri,0,Semi-Furnished,1,1,1,152.05
677,3,3,1.6,Rajouri Garden,1,Unfurnished,1,6,7,64.54
1274,3,3,4.6,Defence Colony,0,Unfurnished,1,1,1,274.44
1105,1,1,5.1,Connaught Place,1,Semi-Furnished,0,4,19,266.98
1149,3,3,15.5,Vasant Vihar,1,Semi-Furnished,1,12,19,166.21
1834,3,3,22.7,Defence Colony,2,Semi-Furnished,0,3,3,207.03
1033,3,3,8.5,Dwarka,0,Furnished,0,1,1,92.48
1581,4,4,13.0,Greater Kailash,0,Furnished,1,16,20,369.45
1053,3,3,6.6,Pitampura,1,Furnished,1,1,1,97.63
1205,4,4,18.1,Preet Vihar,0,Furnished,1,4,5,60.93
1965,3,3,3.2,Greater Kailash,2,Furnished,0,7,19,498.82
1330,3,3,9.3,Pitampura,2,Furnished,1,1,2,149.57
1424,1,1,34.5,Mayur Vihar,2,Furnished,0,13,18,28.38
934,1,1,6.5,Dwarka,2,Unfurnished,1,1,1,89.86
927,2,1,8.4,Connaught Place,1,Unfurnished,1,1,8,185.0
1063,5,4,28.0,Paschim Vihar,2,Semi-Furnished,1,1,1,45.89
1389,3,3,9.5,Connaught Place,1,Semi-Furnished,1,1,1,341.77
1156,3,3,1.7,Karol Bagh,1,Semi-Furnished,0,17,20,169.01
942,3,3,1.1,Defence Colony,2,Furnished,1,2,11,217.38
707,3,3,5.2,Paschim Vihar,0,Semi-Furnished,0,17,20,42.35
1154,3,3,0.5,South Extension,1,Semi-Furnished,1,5,18,260.27
1570,2,2,1.8,Connaught Place,2,Semi-Furnished,0,2,13,394.67
